equipo,ataque,defensa,diferencia_goles,forma_5,forma_10,forma_30,puntos_ponderados,victorias,empates,derrotas,elo
United States,1.960399529676093,1.4957501895803262,0.46464934009576675,0.6,0.6,0.5098039215686274,0.5537126072464789,0.47058823529411764,0.11764705882352941,0.4117647058823529,1495.8620297847629
Ecuador,0.9479450494386956,0.4705486858487752,0.47739636358992044,0.6666666666666666,0.5666666666666667,0.5555555555555556,0.5518613621392855,0.4,0.4666666666666667,0.13333333333333333,1512.0145167783141
Canada,1.7770008328289044,0.7298553250226917,1.0471455078062126,0.5333333333333333,0.5,0.5520833333333334,0.5477888991198006,0.40625,0.4375,0.15625,1504.3551135350967
Cape Verde,1.348739679120333,1.0578115394969634,0.2909281396233696,0.39999999999999997,0.39999999999999997,0.5376344086021505,0.5227861106915027,0.41935483870967744,0.3548387096774194,0.22580645161290322,1499.09428133141
Paraguay,1.0389495405447036,0.974913815671961,0.06403572487274256,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.5174561032305586,0.36666666666666664,0.3,0.3333333333333333,1493.3387353550158
Panama,1.4660409605256515,1.2065668977550381,0.25947406277061336,0.26666666666666666,0.39999999999999997,0.4895833333333333,0.5121348018500443,0.40625,0.25,0.34375,1469.132929503074
Iraq,0.9760724903420444,1.2890021279016124,-0.31292963755956804,0.26666666666666666,0.43333333333333335,0.5483870967741936,0.5027345732032097,0.4838709677419355,0.1935483870967742,0.3225806451612903,1472.8369990002052
Ghana,1.3369833924490886,0.9472049090598883,0.3897784833892003,0.3333333333333333,0.3666666666666667,0.39999999999999997,0.49604361603620833,0.3,0.3,0.4,1483.1398061805928
Scotland,1.4326638798633085,1.3016875734757638,0.13097630638754465,0.6,0.5,0.44086021505376344,0.4929223518687214,0.3870967741935484,0.16129032258064516,0.45161290322580644,1481.9905791661913
Czech Republic,1.7857362966353916,1.3873072739503731,0.39842902268501845,0.4666666666666666,0.5,0.5888888888888889,0.49080146663097196,0.5,0.26666666666666666,0.23333333333333334,1477.2412526030218
Curaçao,1.745460942255417,1.4866793509996052,0.2587815912558118,0.26666666666666666,0.3,0.5333333333333333,0.47117780390894864,0.43333333333333335,0.3,0.26666666666666666,1478.8565705241595
Sweden,1.9051324896893014,1.86249445335979,0.04263803632951135,0.3333333333333333,0.39999999999999997,0.5222222222222223,0.4675435569998858,0.4666666666666667,0.16666666666666666,0.36666666666666664,1485.0978103218965
Uzbekistan,1.1883619234911413,1.406623967489321,-0.21826204399817972,0.06666666666666667,0.3,0.5777777777777778,0.46701537245658403,0.4666666666666667,0.3333333333333333,0.2,1477.4841672516359
Tunisia,1.4511957785841736,1.6005222608630938,-0.1493264822789202,0.0,0.19999999999999998,0.5,0.4617647388736265,0.40625,0.28125,0.3125,1474.3792566640107
Bosnia and Herzegovina,1.5446561705319715,1.4839865188312975,0.060669651700673954,0.39999999999999997,0.5,0.3666666666666667,0.4496753995809231,0.26666666666666666,0.3,0.43333333333333335,1479.753243564008
Uruguay,1.061592604599383,0.8830835151185107,0.1785090894808724,0.26666666666666666,0.5,0.4623655913978495,0.4375219306249612,0.2903225806451613,0.5161290322580645,0.1935483870967742,1496.2683855542866
Saudi Arabia,0.9922624592275497,1.2673518175783796,-0.2750893583508298,0.3333333333333333,0.26666666666666666,0.47474747474747475,0.4353565607562076,0.3939393939393939,0.24242424242424243,0.36363636363636365,1469.1539121994342
Haiti,1.7548250720851162,1.5161073870392885,0.2387176850458277,0.19999999999999998,0.3333333333333333,0.5333333333333333,0.4318808276351979,0.4666666666666667,0.2,0.3333333333333333,1467.969715190573
New Zealand,2.086369409460161,1.4406873166517424,0.6456820928084184,0.26666666666666666,0.16666666666666666,0.45555555555555555,0.4044880458426045,0.4,0.16666666666666666,0.43333333333333335,1466.84699228936
Jordan,1.4399641658945241,1.539375949514986,-0.09941178362046177,0.06666666666666667,0.3666666666666667,0.44086021505376344,0.3751716197419936,0.3548387096774194,0.25806451612903225,0.3870967741935484,1472.2639208799305
Qatar,1.0492156056173814,2.0600698383887104,-1.010854232771329,0.13333333333333333,0.19999999999999998,0.3645833333333333,0.31948801101317476,0.25,0.34375,0.40625,1478.9471140724372
